Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO_AQI,NO2_AQI,NOx_AQI,C6H6_AQI,Overall_AQI
11/3/2004,16.00.00,2.2,1292,95,8.3,912,193,1103,131,1591,957,9.7,71.2,0.8569,25,107,97,139,139
11/3/2004,17.00.00,2.9,1383,150,11.2,1020,243,1008,135,1719,1104,9.8,67.6,0.8185,33,107,105,,107
11/3/2004,18.00.00,4.8,1581,307,20.8,1319,281,799,151,2083,1409,10.3,64.2,0.8065,54,110,109,,110
11/3/2004,19.00.00,6.9,1776,461,27.4,1488,383,702,172,2333,1704,9.7,69.3,0.8319,75,114,119,,119
11/3/2004,20.00.00,6.1,1640,401,24,1404,351,743,165,2191,1654,9.6,67.8,0.8133,67,113,116,,116
11/3/2004,21.00.00,3.9,1313,197,12.8,1076,240,957,136,1707,1285,9.1,64,0.7419,44,108,105,,108
11/3/2004,22.00.00,1.5,965,61,4.7,749,94,1325,85,1333,821,8.2,63.4,0.6905,17,84,47,103,103
11/3/2004,23.00.00,1,913,26,2.6,629,47,1565,53,1252,552,8.2,60.8,0.6657,11,50,24,74,74
12/3/2004,00.00.00,1.7,1080,55,5.9,805,122,1254,97,1375,816,8.3,58.5,0.6438,19,97,61,115,115
12/3/2004,01.00.00,1.9,1044,53,6.4,829,133,1247,110,1378,832,7.7,59.7,0.6308,22,103,67,120,120
12/3/2004,02.00.00,1.4,988,40,4.1,718,82,1396,91,1304,692,7.1,61.8,0.6276,16,90,41,96,96
12/3/2004,03.00.00,0.8,889,21,1.9,574,246.8967349,1680,113.0912508,1187,512,7,62.3,0.6261,9,103,106,64,106
12/3/2004,04.00.00,2.152749544,831,10,1.1,506,21,1893,32,1134,384,6.1,65.9,0.6248,24,30,10,53,53
12/3/2004,05.00.00,0.6,847,7,1,501,30,1895,44,1155,394,6.3,65,0.6233,7,42,15,52,52
12/3/2004,06.00.00,0.8,927,17,1.8,571,56,1685,71,1223,487,6.8,62.9,0.6234,9,69,28,63,69
12/3/2004,07.00.00,1.4,1091,33,4.4,730,109,1387,104,1361,748,6.4,65.1,0.6316,16,102,55,100,102
12/3/2004,08.00.00,4.4,1587,202,17.9,1236,307,897,141,1900,1400,7.3,63.1,0.6499,50,109,111,,111
12/3/2004,09.00.00,2.152749544,1545,218.8118162,22.1,1353,246.8967349,767,113.0912508,2058,1588,9.2,56.2,0.6561,24,103,106,,106
12/3/2004,10.00.00,3.1,1350,208,14,1118,187,912,122,1712,1237,13.2,41.7,0.632,35,105,94,,105
12/3/2004,11.00.00,2.7,1263,166,11.6,1037,216,969,143,1598,1167,14.3,38.4,0.6243,31,109,102,,109
12/3/2004,12.00.00,2.1,1206,114,10.2,986,143,1035,113,1537,959,15,36.5,0.6195,24,103,72,,103
12/3/2004,13.00.00,2.5,1252,140,11,1016,160,1008,116,1593,983,16.1,34.5,0.6262,28,104,80,,104
12/3/2004,14.00.00,2.7,1287,169,12.8,1078,163,949,123,1660,1061,16.3,35.7,0.656,31,105,82,,105
12/3/2004,15.00.00,2.9,1353,185,14.2,1122,190,922,126,1740,1139,15.8,37,0.661,33,106,95,,106
12/3/2004,16.00.00,2.8,1309,165,12.7,1073,178,954,120,1657,1112,15.9,37.2,0.6657,32,105,89,,105
12/3/2004,17.00.00,2.4,1274,133,11.7,1041,150,1006,119,1610,994,16.9,34.3,0.6549,27,104,75,,104
12/3/2004,18.00.00,3.9,1510,233,19.3,1277,206,812,149,1910,1410,15.1,39.6,0.6766,44,110,101,,110
12/3/2004,19.00.00,3.7,1525,242,18.2,1246,202,821,145,1847,1448,14.4,43.4,0.7084,42,109,101,,109
12/3/2004,20.00.00,6.6,1843,488,32.6,1610,340,624,170,2390,1887,12.9,50.5,0.7478,72,114,115,,115
12/3/2004,21.00.00,4.4,1598,333,20.1,1299,274,752,149,1941,1627,12.1,53.3,0.7536,50,110,108,,110
12/3/2004,22.00.00,3.5,1484,215,14.3,1127,253,839,139,1723,1491,11,59.1,0.774,40,108,106,,108
12/3/2004,23.00.00,5.4,1677,367,21.8,1346,300,741,134,2062,1657,9.7,64.6,0.7771,60,107,111,,111
13/03/2004,00.00.00,2.7,1280,122,9.6,964,193,963,113,1544,1285,9.5,64.1,0.7597,31,103,97,,103
13/03/2004,01.00.00,1.9,1196,67,7.4,873,139,1071,97,1463,1144,9.1,63.9,0.7423,22,97,70,130,130
13/03/2004,02.00.00,1.6,1184,43,5.4,782,83,1176,82,1365,1043,8.8,63.9,0.7256,18,81,42,110,110
13/03/2004,03.00.00,1.7,1172,46,5.4,783,246.8967349,1179,113.0912508,1380,996,7.8,67.5,0.7173,19,103,106,110,110
13/03/2004,04.00.00,2.152749544,1147,56,6.2,821,109,1132,83,1412,992,7,71.1,0.7158,24,82,55,118,118
13/03/2004,05.00.00,1,978,30,2.6,625,62,1420,65,1274,819,8.3,63.6,0.6982,11,63,31,74,74
13/03/2004,06.00.00,1.2,1100,27,2.9,646,53,1406,60,1268,835,7.2,67.5,0.6887,14,57,26,79,79
13/03/2004,07.00.00,1.5,1112,47,5.1,770,139,1228,77,1409,940,6.3,71.9,0.6932,17,76,70,107,107
13/03/2004,08.00.00,2.7,1336,132,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.6945,31,96,106,,106
13/03/2004,09.00.00,3.7,1408,239,15.1,1153,295,830,119,1777,1411,9.6,59.7,0.7124,42,104,110,,110
13/03/2004,10.00.00,3.2,1447,160,12.9,1081,250,869,126,1667,1465,12.4,51.2,0.7335,36,106,106,,106
13/03/2004,11.00.00,4.1,1542,283,16.1,1184,296,808,158,1780,1583,15.6,42.2,0.7451,47,112,110,,112
13/03/2004,12.00.00,3.6,1451,210,14,1117,239,875,161,1679,1387,18.4,33.8,0.709,41,112,105,,112
13/03/2004,13.00.00,2.8,1328,154,12.3,1059,153,987,124,1600,1101,19.4,31.3,0.695,32,105,77,,105
13/03/2004,14.00.00,2,1207,112,8.6,924,118,1088,102,1488,850,18,34.8,0.7127,23,101,59,142,142
13/03/2004,15.00.00,2,1240,108,9.2,947,119,1049,116,1532,947,18.4,33.6,0.7042,23,104,60,148,148
13/03/2004,16.00.00,2.5,1306,111,10.2,987,138,1004,124,1554,1078,17.6,35.1,0.7012,28,105,69,,105
13/03/2004,17.00.00,2.3,1326,97,10.6,1000,148,976,125,1602,1084,16.7,37.8,0.7117,26,106,74,,106
13/03/2004,18.00.00,3.2,1473,191,15.5,1163,227,831,148,1779,1395,16.1,41,0.7451,36,110,104,,110
13/03/2004,19.00.00,4.2,1609,258,19.6,1286,277,758,165,1922,1612,15.8,42.4,0.7569,48,113,108,,113
13/03/2004,20.00.00,4.2,1611,284,19.2,1274,279,754,161,1915,1697,15.7,44.1,0.7786,48,112,109,,112
13/03/2004,21.00.00,4.2,1621,269,18.3,1247,283,762,159,1860,1886,15.3,46.8,0.8091,48,112,109,,112
13/03/2004,22.00.00,3.1,1444,180,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.806,35,109,102,,109
13/03/2004,23.00.00,2.6,1418,116,10.9,1010,172,892,130,1603,1536,14.7,49.3,0.8193,30,106,86,,106
14/03/2004,00.00.00,2.9,1534,93,11,1013,190,889,129,1611,1535,13.9,53.6,0.8498,33,106,95,,106
14/03/2004,01.00.00,2.8,1484,131,11.9,1045,174,880,119,1624,1530,14.6,51.5,0.8536,32,104,87,,104
14/03/2004,02.00.00,2.5,1367,92,8.6,925,128,953,104,1543,1337,12.5,58.9,0.8537,28,102,64,142,142
14/03/2004,03.00.00,2.4,1344,132,9.7,968,246.8967349,921,113.0912508,1620,1278,11.6,63.4,0.8674,27,103,106,,106
14/03/2004,04.00.00,2.152749544,1130,56,5.2,773,70,1130,82,1452,1051,12.1,61.1,0.8603,24,81,35,108,108
14/03/2004,05.00.00,1.2,1062,32,3.7,691,53,1272,70,1377,929,11.5,63.1,0.8533,14,68,26,90,90
14/03/2004,06.00.00,1,1076,29,2.5,618,44,1395,63,1333,872,11.6,62.2,0.8473,11,61,22,73,73
14/03/2004,07.00.00,0.9,1028,27,2.4,615,74,1384,67,1340,853,10.4,67.6,0.853,10,65,37,72,72
14/03/2004,08.00.00,1.4,1155,36,4.2,722,101,1225,84,1414,959,11.6,62.7,0.853,16,83,51,97,97
14/03/2004,09.00.00,1.6,1235,57,6.4,828,118,1055,83,1527,1093,12.4,60,0.8627,18,82,59,120,120
14/03/2004,10.00.00,2.2,1332,129,8.6,923,144,952,98,1614,1225,14.5,53.1,0.8728,25,98,72,142,142
14/03/2004,11.00.00,2.8,1445,148,10.9,1009,176,878,114,1696,1355,16.9,46.1,0.8789,32,103,88,,103
14/03/2004,12.00.00,2.8,1416,145,10.7,1002,161,907,119,1677,1262,19.3,38.3,0.8474,32,104,81,,104
14/03/2004,13.00.00,2,1281,93,7.5,880,113,1084,104,1525,980,21.2,31.4,0.7812,23,102,57,131,131
14/03/2004,14.00.00,1.8,1207,84,7.5,879,103,1104,102,1490,872,21.4,30.2,0.7616,20,101,52,131,131
14/03/2004,15.00.00,1.9,1258,99,8.2,906,112,1081,107,1511,900,21.9,29,0.7525,22,102,56,138,138
14/03/2004,16.00.00,3,1458,150,11.9,1045,170,974,129,1646,1099,22.2,28.4,0.7516,34,106,85,,106
14/03/2004,17.00.00,2.9,1438,156,12,1051,180,943,128,1668,1206,21.3,30.8,0.7696,33,106,90,,106
14/03/2004,18.00.00,2.5,1478,122,12.2,1055,160,929,121,1671,1262,19.7,36.7,0.8307,28,105,80,,105
14/03/2004,19.00.00,4.6,1808,262,20.6,1312,261,753,157,1993,1698,18.4,41.7,0.8732,52,112,107,,112
14/03/2004,20.00.00,5.9,1898,341,23.1,1381,325,681,173,2103,1905,17.6,46.1,0.921,65,115,113,,115
14/03/2004,21.00.00,3.4,1560,214,14.7,1140,217,784,146,1818,1648,16.7,49.6,0.932,39,110,103,,110
14/03/2004,22.00.00,2.1,1324,100,9,940,146,924,121,1587,1423,16.3,51,0.9341,24,105,73,146,146
14/03/2004,23.00.00,2.2,1349,79,8.8,933,152,933,119,1617,1349,14.7,55.9,0.9314,25,104,76,144,144
15/03/2004,00.00.00,1.8,1239,66,7.4,872,104,985,99,1547,1250,14.8,54.7,0.9164,20,99,52,130,130
15/03/2004,01.00.00,1.8,1239,73,6.9,853,106,1010,93,1543,1174,14,57,0.9094,20,93,53,125,125
15/03/2004,02.00.00,1.8,1224,66,7,855,108,998,88,1566,1149,13.4,61.3,0.9361,20,87,54,126,126
15/03/2004,03.00.00,1.1,1078,44,4.4,734,246.8967349,1128,113.0912508,1487,1021,12.6,63.5,0.923,12,103,106,100,106
15/03/2004,04.00.00,2.152749544,1078,44,4,711,66,1150,71,1468,1013,12.3,65.4,0.9351,24,69,33,94,94
15/03/2004,05.00.00,1,1075,39,3.9,703,88,1156,74,1464,1010,11.9,67.4,0.9375,11,72,44,93,93
15/03/2004,06.00.00,1.4,1157,51,6.4,830,138,1030,80,1584,1083,11.4,70.5,0.9475,16,79,69,120,120
15/03/2004,07.00.00,2.2,1314,107,9.7,966,228,897,89,1710,1235,11.3,70.2,0.9401,25,88,104,,104
15/03/2004,08.00.00,5.5,1797,336,25.9,1451,360,652,114,2323,1680,12.4,63.9,0.917,61,103,117,,117
15/03/2004,09.00.00,8.1,1961,618,36.7,1701,478,537,149,2665,2184,14.8,54.3,0.9076,87,110,128,,128
15/03/2004,10.00.00,5.8,1771,438,26.6,1470,394,622,157,2262,1973,17.4,45.6,0.8993,64,112,120,,120
15/03/2004,11.00.00,4.2,1564,334,20.1,1300,319,710,155,2029,1798,19.8,38.5,0.8801,48,111,113,,113
15/03/2004,12.00.00,3.1,1430,221,14.1,1120,201,831,134,1783,1522,22,34.1,0.8904,35,107,101,,107
15/03/2004,13.00.00,2.9,1417,207,14.9,1146,171,830,119,1831,1404,23.3,32.2,0.9096,33,104,86,,104
15/03/2004,14.00.00,2.9,1400,191,15.4,1162,159,838,111,1829,1263,23.9,30,0.8757,33,103,80,,103
15/03/2004,15.00.00,2.5,1317,185,12.1,1053,153,926,104,1707,1137,24.4,28.9,0.8736,28,102,77,,102
15/03/2004,16.00.00,2.3,1318,141,11.5,1033,143,950,99,1675,1068,24.4,29.4,0.8848,26,99,72,,99
15/03/2004,17.00.00,2.8,1445,214,14.8,1141,156,857,110,1824,1252,23.8,31.3,0.9137,32,103,78,,103
15/03/2004,18.00.00,6.1,1917,471,32.1,1601,314,631,162,2447,1843,22.5,35.4,0.9547,67,113,112,,113
15/03/2004,19.00.00,8,2040,685,39.2,1754,404,542,187,2679,2122,20.4,42.5,1.0086,86,117,121,,121
15/03/2004,20.00.00,6.5,1895,538,31,1573,320,565,165,2443,1992,18.3,52.6,1.0945,71,113,113,,113
15/03/2004,21.00.00,4.2,1595,319,19.9,1294,256,678,145,2058,1707,16.7,57.4,1.0786,48,109,106,,109
15/03/2004,22.00.00,3.2,1439,224,15.3,1159,193,764,125,1856,1494,15.7,60.2,1.0654,36,106,97,,106
15/03/2004,23.00.00,1.4,1142,67,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.058,16,101,44,125,125
16/03/2004,00.00.00,2.1,1304,155,11.1,1019,127,852,103,1731,1272,14.1,65.7,1.0494,24,101,64,,101
16/03/2004,01.00.00,1.2,1074,49,5.4,784,79,1098,88,1483,1040,14.8,60.6,1.0148,14,87,40,110,110
16/03/2004,02.00.00,0.8,968,29,2.8,640,43,1320,61,1386,867,14.8,59.2,0.9879,9,58,22,77,77
16/03/2004,03.00.00,0.7,929,25,2.3,608,246.8967349,1376,113.0912508,1364,826,13.6,62.1,0.9636,8,103,106,70,106
16/03/2004,04.00.00,2.152749544,941,25,2.6,626,59,1316,59,1373,840,12.3,66.2,0.945,24,56,30,74,74
16/03/2004,05.00.00,0.6,937,17,2,585,38,1412,52,1348,793,12.8,63.2,0.9283,7,49,19,66,66
16/03/2004,06.00.00,0.9,1017,27,3.5,681,82,1246,64,1418,870,11.2,68.5,0.9081,10,62,41,87,87
16/03/2004,07.00.00,1.3,1171,50,5.1,770,99,1162,70,1467,930,11,66.5,0.8705,15,68,50,107,107
16/03/2004,08.00.00,3.4,1541,218,16.2,1185,263,770,97,1889,1407,11.7,63.7,0.8719,39,97,107,,107
16/03/2004,09.00.00,3.7,1539,285,19.7,1287,229,698,95,2055,1507,13.6,56.3,0.8743,42,95,104,,104
16/03/2004,10.00.00,5.3,1735,437,25.1,1431,396,628,150,2211,1843,17.8,42.9,0.8672,59,110,120,,120
16/03/2004,11.00.00,4.1,1571,327,20,1297,314,730,162,1973,1729,21.4,33.3,0.8417,47,113,112,,113
16/03/2004,12.00.00,3.3,1452,283,18.3,1250,217,776,154,1868,1583,24.4,27.4,0.8231,38,111,103,,111
16/03/2004,13.00.00,4,1579,366,22.3,1359,252,724,161,1998,1671,25.3,26.1,0.8264,45,112,106,,112
16/03/2004,14.00.00,3.8,1466,318,20.4,1309,263,773,161,1897,1491,25.8,23.2,0.7589,43,112,107,,112
16/03/2004,15.00.00,2.8,1280,228,14.6,1136,180,893,128,1675,1240,27,20.2,0.7094,32,106,90,,106
16/03/2004,16.00.00,2.9,1407,201,16.6,1197,184,905,129,1759,1313,28.2,18.6,0.7014,33,106,92,,106
16/03/2004,17.00.00,2.9,1389,199,15.8,1173,190,898,133,1739,1363,28,19.1,0.7098,33,107,95,,107
16/03/2004,18.00.00,3.4,1447,237,17.8,1235,184,859,139,1778,1296,23.9,25.7,0.7519,39,108,92,,108
16/03/2004,19.00.00,3.9,1551,261,19.1,1271,181,800,137,1875,1432,21.3,34.8,0.873,44,108,91,,108
16/03/2004,20.00.00,3.2,1474,230,15.8,1173,166,854,143,1776,1432,20.4,36.7,0.8704,36,109,83,,109
16/03/2004,21.00.00,5.1,1800,349,24.9,1426,317,700,177,2106,2034,19,41.3,0.9007,57,115,112,,115
16/03/2004,22.00.00,2.6,1379,183,13.5,1101,184,818,138,1710,1602,17.9,45.9,0.9342,30,108,92,,108
16/03/2004,23.00.00,1.7,1201,88,9.1,943,130,935,117,1560,1362,16.7,48.9,0.9226,19,104,65,147,147
17/03/2004,00.00.00,1.7,1205,85,8.6,925,132,922,107,1547,1314,15.5,52.9,0.9271,19,102,66,142,142
17/03/2004,01.00.00,1.2,1072,47,5.4,784,95,1066,90,1442,1114,15.5,51.9,0.9059,14,89,48,110,110
17/03/2004,02.00.00,0.9,998,34,4.1,714,70,1169,79,1383,992,14.1,55.6,0.891,10,78,35,96,96
17/03/2004,03.00.00,0.7,933,26,2.6,625,246.8967349,1292,113.0912508,1332,884,13.1,57.9,0.8666,8,103,106,74,106
17/03/2004,04.00.00,2.152749544,883,17,1.9,577,54,1396,60,1303,808,12.7,57.9,0.8447,24,57,27,64,64
17/03/2004,05.00.00,0.5,869,11,1.6,554,28,1460,40,1268,667,11.8,58,0.8026,6,38,14,60,60
17/03/2004,06.00.00,0.5,891,18,1.9,576,46,1417,53,1289,733,11.9,57.4,0.7978,6,50,23,64,64
17/03/2004,07.00.00,1.6,1173,84,7.5,878,160,1038,84,1556,1052,9.9,65.2,0.7956,18,83,80,131,131
17/03/2004,08.00.00,4.1,1587,260,21.4,1334,320,702,108,1999,1534,11.1,60.2,0.7958,47,102,113,,113
17/03/2004,09.00.00,6.6,1852,534,36.4,1696,377,553,127,2535,1931,14.1,50,0.802,72,106,118,,118
17/03/2004,10.00.00,4.3,1522,368,21.3,1331,280,703,134,2026,1734,17.7,40.1,0.8048,49,107,109,,109
17/03/2004,11.00.00,2.9,1438,200,15.4,1161,221,819,135,1782,1595,21.1,33.4,0.8265,33,107,103,,107
17/03/2004,12.00.00,2.5,1393,145,12.5,1067,210,905,142,1654,1490,24.3,28.3,0.8471,28,109,102,,109
17/03/2004,13.00.00,2.8,1452,188,15.1,1152,204,861,153,1747,1508,25.6,25.6,0.8254,32,111,101,,111
17/03/2004,14.00.00,2.6,1389,152,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503,30,105,81,,105
17/03/2004,15.00.00,2,1207,103,10.4,994,135,1013,104,1520,1045,26.8,18.7,0.65,23,102,68,,102
17/03/2004,16.00.00,2.9,1365,193,15.2,1154,186,940,129,1679,1221,29.3,15.8,0.6309,33,106,93,,106
17/03/2004,17.00.00,2.5,1247,134,12.3,1060,147,1032,114,1525,1069,28.5,14.9,0.5708,28,103,74,,103
17/03/2004,18.00.00,5,1557,386,27,1478,299,793,158,1981,1569,25.9,16,0.5237,56,112,111,,112
17/03/2004,19.00.00,7.6,1973,577,38.4,1737,411,617,194,2414,2306,23.1,26.5,0.7403,82,119,122,,122
17/03/2004,20.00.00,6.7,1975,523,35.1,1667,347,597,182,2416,2359,20.5,38.2,0.9133,73,116,115,,116
17/03/2004,21.00.00,5.7,1795,472,27.2,1485,336,653,180,2174,2050,19.1,42.6,0.9294,63,116,114,,116
17/03/2004,22.00.00,2.8,1444,206,15,1150,202,770,136,1727,1727,17.2,44.1,0.8558,32,108,101,,108
17/03/2004,23.00.00,2.6,1488,216,15.7,1171,178,731,127,1778,1705,16,50.9,0.9206,30,106,89,,106
18/03/2004,00.00.00,2.3,1371,159,13,1083,154,796,116,1669,1551,14.8,53.9,0.9024,26,104,77,,104
18/03/2004,01.00.00,1.4,1161,70,8.1,904,92,947,107,1502,1240,14.3,55.4,0.8975,16,102,46,137,137
18/03/2004,02.00.00,1,1064,44,5.5,787,61,1057,88,1407,1115,14.8,52.1,0.8686,11,87,30,111,111
18/03/2004,03.00.00,0.7,970,42,3.6,687,246.8967349,1196,113.0912508,1351,969,13.9,53.9,0.8501,8,103,106,89,106
18/03/2004,04.00.00,2.152749544,954,28,2.9,645,60,1260,78,1334,925,11.6,61.9,0.8442,24,77,30,79,79
18/03/2004,05.00.00,0.6,931,20,2.5,623,37,1293,57,1307,828,12,58.9,0.8233,7,54,18,73,73
18/03/2004,06.00.00,0.7,938,26,3,650,68,1251,71,1333,893,10.9,62.1,0.8113,8,69,34,80,80
18/03/2004,07.00.00,1.5,1166,78,7.7,885,139,1005,85,1551,1075,10.6,63.3,0.8067,17,84,70,133,133
18/03/2004,08.00.00,4.7,1643,319,23.3,1384,339,667,124,2094,1610,11.5,60,0.8117,53,105,115,,115
18/03/2004,09.00.00,6.6,1934,506,35.8,1682,421,541,151,2468,2051,14.3,50.6,0.8186,72,110,123,,123
18/03/2004,10.00.00,4.5,1617,218.8118162,21.3,1333,349,686,150,2010,1819,17.8,40.5,0.821,51,110,116,,116
18/03/2004,11.00.00,2.8,1473,218.8118162,14.3,1127,224,831,152,1752,1568,20.8,34.4,0.8365,32,111,103,,111
18/03/2004,12.00.00,2.2,1379,218.8118162,12.5,1068,171,899,139,1663,1374,23.8,28.2,0.8219,25,108,86,,108
18/03/2004,13.00.00,2.2,1385,218.8118162,12.2,1056,149,891,133,1648,1268,24.2,28.7,0.8515,25,107,75,,107
18/03/2004,14.00.00,2.3,1379,218.8118162,13.1,1087,137,901,126,1660,1144,25.2,24.9,0.7829,26,106,69,,106
18/03/2004,15.00.00,2.2,1322,218.8118162,14.4,1129,149,934,128,1639,1109,27,17.8,0.6275,25,106,75,,106
18/03/2004,16.00.00,2.8,1496,218.8118162,16.8,1205,172,822,169,1767,1347,27.1,23.1,0.818,32,114,86,,114
18/03/2004,17.00.00,2.7,1409,218.8118162,14.5,1131,166,873,149,1689,1206,25.8,23.9,0.7832,31,110,83,,110
18/03/2004,18.00.00,3.7,1513,218.8118162,21.5,1338,214,764,156,1957,1397,23,26.8,0.7446,42,111,102,,111
18/03/2004,19.00.00,5.1,1667,218.8118162,26.4,1464,280,683,168,2118,1588,20.7,31.1,0.7523,57,114,109,,114
18/03/2004,20.00.00,5.1,1667,218.8118162,26,1453,276,684,176,2051,1569,18.6,36.2,0.7676,57,115,108,,115
18/03/2004,21.00.00,3.2,1430,218.8118162,14.1,1121,178,814,135,1732,1322,16,48.4,0.8768,36,107,89,,107
18/03/2004,22.00.00,2.1,1333,218.8118162,10.3,989,129,885,121,1621,1194,14.5,57.8,0.9456,24,105,65,,105
18/03/2004,23.00.00,1.7,1262,218.8118162,8.3,911,95,948,99,1545,1062,13.1,64.2,0.9606,19,99,48,139,139
19/03/2004,00.00.00,2,1287,218.8118162,8.9,936,126,918,106,1606,1040,12,69.7,0.9735,23,102,63,145,145
19/03/2004,01.00.00,1.6,1134,218.8118162,6.6,840,103,1021,96,1501,917,11.9,71.1,0.9915,18,96,52,122,122
19/03/2004,02.00.00,0.9,999,218.8118162,3.6,688,48,1229,63,1380,594,12.5,69.3,1.0029,10,61,24,89,89
19/03/2004,03.00.00,0.7,961,218.8118162,2.5,622,246.8967349,1382,113.0912508,1301,430,12.5,67.5,0.9768,8,103,106,73,106
19/03/2004,04.00.00,2.152749544,934,218.8118162,1.8,569,20,1440,32,1280,397,12.3,67.7,0.9665,24,30,10,63,63
19/03/2004,05.00.00,0.5,913,218.8118162,1.3,525,18,1620,28,1260,370,12.5,66.8,0.962,6,26,9,56,56
19/03/2004,06.00.00,0.7,969,218.8118162,2.3,607,56,1373,61,1324,438,12.3,66.3,0.9487,8,58,28,70,70
19/03/2004,07.00.00,1.5,1182,218.8118162,6.7,845,115,1054,99,1539,704,12.4,64.9,0.9332,17,99,58,123,123
19/03/2004,08.00.00,4.8,1740,218.8118162,22.8,1372,320,671,157,2144,1476,13,61.6,0.9209,54,112,113,,113
19/03/2004,09.00.00,6.2,1819,218.8118162,31.3,1582,357,575,166,2456,1716,13.6,58.8,0.912,68,113,116,,116
19/03/2004,10.00.00,4,1427,218.8118162,19.2,1275,253,701,149,1980,1398,13.9,57.1,0.9032,45,110,106,,110
19/03/2004,11.00.00,3.3,1390,218.8118162,16.4,1191,218,759,135,1879,1268,14.5,54.4,0.8917,38,107,103,,107
19/03/2004,12.00.00,2.8,1283,218.8118162,14,1117,192,813,127,1751,1188,15.5,50.1,0.8744,32,106,96,,106
19/03/2004,13.00.00,3,1304,218.8118162,15.3,1157,176,793,122,1801,1171,16.1,47.6,0.8655,34,105,88,,105
19/03/2004,14.00.00,3.3,1364,218.8118162,16.7,1202,198,771,135,1875,1250,16.3,47.1,0.864,38,107,99,,107
19/03/2004,15.00.00,3.5,1410,218.8118162,19,1268,212,724,139,1957,1344,16.4,47.5,0.8791,40,108,102,,108
19/03/2004,16.00.00,4,1476,218.8118162,19.4,1280,249,708,147,1955,1378,16.1,50.2,0.9094,45,110,106,,110
19/03/2004,17.00.00,4.6,1522,218.8118162,20.9,1320,270,690,158,2005,1435,16,50.7,0.9142,52,112,108,,112
19/03/2004,18.00.00,4.1,1442,218.8118162,20.2,1301,231,704,146,1952,1372,15.8,50.3,0.8989,47,110,104,,110
